base,digits,num_cycles,fixed_points
43,6,6321363006,0
43,7,271818611064,0
43,8,11688200277558,0
44,6,7251991172,2
44,7,273073907456,1
44,8,14048223625172,0
45,6,8303765580,0
45,7,373669453080,0
45,8,16805180925308,2
46,6,9474250620,1
46,7,435817657170,0
46,8,20047612231890,0
47,6,10779215282,0
47,7,506623120416,0
47,8,23811286661714,0
48,6,12225746976,2
48,7,509209510222,1
48,8,28174561882896,2
49,6,13841287152,0
49,7,678223072800,0
49,8,33232930569552,0
50,6,15624945200,1
50,7,781249999950,0
50,8,39062499999950,0
51,6,17596287750,0
51,7,897410677800,0
51,8,45767556953358,1
52,6,19770550332,1
52,7,871056568634,1
52,8,53459728531404,0
53,6,22116047516,1
53,7,1174711139784,0
53,8,62259690411308,0
